,district,home_size,home_price
0,الرمال,300,1350000
1,الملقا,405,4500000
2,الياسمين,375,3700000
3,الفيحاء,700,2200000
4,عكاظ,350,980000
5,عكاظ,325,1100000
6,المهدية,200,1430000
7,عكاظ,506,1300000
8,البديعة,216,1230000
9,الرمال,300,1280000
10,بدر,300,1050000
11,عكاظ,308,1200000
12,الرمال,324,1500000
13,عكاظ,325,1110000
14,عكاظ,327,1095000
15,الملقا,336,3300000
16,الغدير,600,4200000
17,طويق,230,1350000
18,بدر,360,1140000
19,المهدية,200,1500000
20,القادسية,375,1960000
21,عكاظ,300,1160000
22,لبن,200,1300000
23,الملقا,405,4500000
24,عكاظ,325,1100000
25,طويق,360,1450000
26,التعاون,325,2850000
27,الرمال,300,1330000
28,عكاظ,300,1155000
29,طيبة,325,670000
30,طويق,270,1140000
31,طويق,250,1100000
32,الرمال,379,1500000
33,النرجس,250,2650000
34,العارض,480,3200000
35,النرجس,240,4100000
36,طويق,375,1600000
37,الرمال,210,1250000
38,اليرموك,322,2100000
39,عكاظ,313,980000
40,عكاظ,325,1090000
41,المهدية,750,3500000
42,المهدية,450,2500000
43,العزيزية,360,1400000
44,الرفيعة,1800,15000000
45,الملقا,405,4500000
46,العزيزية,280,860000
47,عرقة,4600,45000000
48,عكاظ,350,1130000
49,المهدية,200,1300000
50,الشفا,250,1100000
51,طويق,300,1180000
52,الحزم,312,1260000
53,الملقا,1960,16000000
54,طويق,240,1050000
55,النهضة,476,1600000
56,طويق,300,1180000
57,طويق,250,1050000
58,الرمال,400,1550000
59,طويق,375,1160000
60,الربوة,780,3500000
61,طويق,200,950000
62,العقيق,250,1800000
63,العارض,370,2500000
64,حطين,600,6000000
65,طويق,200,960000
66,الرمال,300,1350000
67,الرفيعة,1800,15000000
68,طويق,200,1000000
69,طويق,200,980000
70,الدولي,240,1170000
71,عكاظ,324,1095000
72,اشبيلية,350,1900000
73,الرمال,281,1230000
74,الحمراء,5933,30000000
75,اليرموك,422,2950000
76,بدر,315,1100000
77,الدولي,300,1330000
78,طويق,260,1220000
79,الجنادرية,272,1350000
80,طويق,375,1600000
81,النهضة,750,2600000
82,الجنادرية,270,1350000
83,الرمال,231,1500000
84,القدس,200,1650000
85,القادسية,204,1200000
86,طويق,300,1250000
87,النرجس,250,2100000
88,طويق,300,1220000
89,الملقا,405,4500000
90,المنار,500,2000000
91,طويق,250,1100000
92,طويق,300,1200000
93,طويق,300,1225000
94,طويق,300,1300000
95,الياسمين,462,5000000
96,النظيم,350,1080000
97,طويق,300,1150000
98,عكاظ,300,1000000
99,حطين,2000,25000000
100,طيبة,220,850000
101,المهدية,250,1550000
102,بدر,225,890000
103,طيبة,270,890000
104,الشرق,360,1500000
105,الغربي,250,1350000
106,طويق,300,1300000
107,طويق,300,1180000
108,طويق,405,3200000
109,الرمال,232,1280000
110,طويق,300,1220000
111,الملقا,405,4500000
112,طويق,300,1200000
113,المهدية,280,1600000
114,الرمال,250,1200000
115,الملقا,425,5300000
116,المونسية,325,1850000
117,الحزم,360,1450000
118,طويق,375,1650000
119,الرمال,300,1300000
120,الربوة,780,3500000
121,طويق,200,1000000
122,المهدية,375,2250000
123,المهدية,200,1350000
124,العزيزية,250,930000
125,نمار,255,1400000
126,طويق,375,1550000
127,اشبيلية,300,2000000
128,طويق,390,1150000
129,طويق,375,1200000
130,القيروان,736,4000000
131,لبن,252,1550000
132,لبن,200,1300000
133,الرمال,300,1350000
134,طويق,200,880000
135,الرمال,246,1350000
136,الرمال,417,1750000
137,نمار,316,1500000
138,عكاظ,375,1160000
139,المهدية,300,1450000
140,طويق,200,950000
141,الجديدة,214,270000
142,الملقا,700,7300000
143,العزيزية,240,1000000
144,الحزم,250,150000
145,الملقا,414,4400000
146,الرمال,216,1080000
147,طويق,300,1170000
148,الغربية,575,1350000
149,النرجس,500,5400000
150,الوسطى,200,1000000
151,الرمال,353,1700000
152,البيضاء,280,980000
153,طيبة,276,850000
154,الرمال,300,1350000
155,الملقا,405,4500000
156,المهدية,200,1250000
157,الرمال,312,1550000
158,طويق,360,1450000
159,اشبيلية,625,3000000
160,النهضة,476,1600000
161,المهدية,375,2500000
162,طويق,200,900000
163,نمار,450,2000000
164,العارض,270,2700000
165,المهدية,338,1600000
166,طويق,360,1050000
167,الرمال,300,1330000
168,طويق,390,1700000
169,المهدية,200,1300000
170,قرطبة,420,3200000
171,قرطبة,360,3300000
172,الياسمين,375,2900000
173,القادسية,361,1700000
174,البيضاء,250,840000
175,المونسية,240,1700000
176,الرفيعة,1800,15000000
177,الملقا,405,4500000
178,الدولي,300,1300000
179,المونسية,270,1600000
180,طويق,300,1150000
181,نمار,300,1350000
182,طويق,375,1500000
183,المهدية,200,1250000
184,المهدية,200,1300000
185,طويق,375,1600000
186,الملك عبدالله,600,4300000
187,الرمال,263,1600000
188,المهدية,200,1280000
189,طويق,300,950000
190,ديراب,250,1030000
191,الرمال,375,1780000
192,المهدية,216,1450000
193,بدر,300,900000
194,القادسية,455,2200000
195,طويق,420,1170000
196,طويق,200,950000
197,طويق,250,1300000
198,الرمال,300,1350000
199,الملقا,405,4500000
200,البيضاء,330,880000
201,نمار,300,1350000
202,اليرموك,560,2300000
203,طويق,200,960000
204,النرجس,312,2700000
205,الرمال,345,1700000
206,البيضاء,250,850000
207,الياسمين,988,6000000
208,طويق,300,1150000
209,الاندلس,375,2330000
210,الجنادرية,272,1400000
211,طويق,300,1180000
212,بدر,366,1100000
213,طويق,200,970000
214,العارض,351,2800000
215,نمار,300,1230000
216,طويق,200,900000
217,العارض,338,2550000
218,عكاظ,375,1350000
219,طويق,360,1450000
220,الملقا,405,4500000
221,الرفيعة,1800,15000000
222,طويق,390,1500000
223,طويق,200,920000
224,عكاظ,325,1150000
225,العارض,420,2600000
226,القيروان,190,2100000
227,المهدية,200,1300000
228,النفل,360,2400000
229,اليرموك,422,3000000
230,طويق,360,1600000
231,طويق,200,900000
232,الشرق,448,1370000
233,الرمال,417,1750000
234,المهدية,200,1400000
235,السعادة,252,1600000
236,الرمال,315,1330000
237,الرمال,285,1550000
238,بدر,360,1100000
239,الواحة,500,3500000
240,النرجس,312,3000000
241,الحزم,250,900000
242,طويق,300,1220000
243,الملقا,405,4500000
244,الحمراء,732,4200000
245,الرمال,312,1700000
246,بدر,500,800000
247,طويق,200,970000
248,عكاظ,390,950000
249,طويق,300,1130000
250,النرجس,766,7000000
251,طويق,260,1250000
252,عكاظ,309,1000000
253,طويق,300,1130000
254,الوسطى,200,950000
255,المونسية,288,1750000
256,بدر,242,1000000
257,طويق,315,1300000
258,النهضة,260,1550000
259,الرمال,312,1370000
260,النرجس,240,2600000
261,الرمال,300,1250000
262,طويق,375,1200000
263,طويق,300,1350000
264,الرمال,300,1350000
265,لبن,200,1300000
266,طويق,390,1200000
267,طيبة,248,840000
268,الرمال,300,1350000
269,نمار,200,1100000
270,طويق,200,880000
271,طويق,375,1600000
272,العارض,260,2200000
273,المونسية,375,2500000
274,العليا,396,1200000
275,الرمال,500,2100000
276,الرمال,240,1130000
277,لبن,200,1100000
278,طويق,360,1450000
279,النرجس,250,2700000
280,طويق,250,1120000
281,طويق,200,950000
282,اليرموك,322,2200000
283,طيبة,240,850000
284,طويق,300,980000
285,طويق,240,1050000
286,طويق,300,1220000
287,الرفيعة,1800,15000000
288,الحزم,312,1150000
289,طويق,318,1150000
290,طيبة,232,830000
291,المهدية,450,2300000
292,حطين,575,7000000
293,البيضاء,375,720000
294,طويق,216,1050000
295,طويق,300,1250000
296,طويق,250,1100000
297,الياسمين,10975,9800000
298,نمار,312,1500000
299,طويق,270,1300000
300,طويق,400,1300000
301,الرمال,324,1450000
302,عكاظ,390,1200000
303,الجنادرية,270,1300000
304,طويق,375,1750000
305,طويق,384,1500000
306,المونسية,360,1900000
307,الجنادرية,270,1400000
308,الملقا,405,4500000
309,الرفيعة,1800,15000000
310,المهدية,200,1350000
311,طويق,300,1190000
312,البيضاء,300,880000
313,اشبيلية,675,3500000
314,عكاظ,280,1150000
315,البيضاء,225,901000
316,عكاظ,300,1100000
317,الملقا,360,4000000
318,عكاظ,350,1000000
319,النرجس,400,4500000
320,الاندلس,340,2330000
321,الزهرة,250,750000
322,النرجس,312,3150000
323,الوسطى,200,1050000
324,الرمال,500,2400000
325,بدر,250,920000
326,الروابي,400,1800000
327,السويدي,625,1300000
328,شبرا,270,1620000
329,النرجس,360,3300000
330,الرفيعة,1800,15000000
331,لبن,200,1300000
332,طويق,300,1190000
333,بدر,230,1000000
334,الرمال,312,1650000
335,عكاظ,210,920000
336,الرمال,320,1700000
337,طويق,390,1600000
338,المهدية,277,1500000
339,الوشام,500,1250000
340,النفل,263,1650000
341,الياسمين,375,2500000
342,بدر,315,980000
343,الوسطى,200,1000000
344,عكاظ,303,1060000
345,طويق,240,1060000
346,طويق,300,1150000
347,طيبة,220,820000
348,عكاظ,300,980000
349,بدر,320,1200000
350,طويق,300,1120000
351,المهدية,200,1370000
352,طويق,300,1220000
353,لبن,200,1300000
354,المروج,815,4000000
355,العزيزية,250,860000
356,العقيق,269,2420000
357,طويق,300,1100000
358,نمار,200,1150000
359,المونسية,375,2200000
360,بدر,275,1100000
361,القادسية,282,1450000
362,طيبة,300,650000
363,الصحافة,750,5000000
364,لبن,275,1300000
365,السويدي,787,1100000
366,المونسية,374,2450000
367,نمار,250,1150000
368,طويق,200,1000000
369,طويق,375,1300000
370,الغربية,250,1100000
371,الفيحاء,300,1500000
372,طويق,200,950000
373,المونسية,300,2200000
374,الرمال,300,1350000
375,لبن,200,1300000
376,المهدية,200,1250000
377,عكاظ,300,1000000
378,المهدية,200,1350000
379,الحزم,265,1000000
380,عكاظ,362,900000
381,بدر,330,920000
382,النخيل,290,3900000
383,الجنادرية,780,2000000
384,المهدية,200,1300000
385,لبن,200,1050000
386,العارض,234,1950000
387,النرجس,300,2800000
388,نمار,252,1350000
389,الرمال,240,1150000
390,النرجس,560,4000000
391,الغدير,1375,9800000
392,طويق,396,1550000
393,الرمال,250,1300000
394,طويق,375,1650000
395,طويق,202,822000
396,طويق,300,1220000
397,الملقا,405,4500000
398,المهدية,200,1400000
399,طويق,266,1360000
400,الرمال,240,1150000
401,البيضاء,360,1200000
402,طويق,375,1550000
403,الوسطى,400,1050000
404,عكاظ,285,1150000
405,الرمال,300,1370000
406,المهدية,200,1450000
407,طويق,300,1140000
408,طويق,312,1450000
409,الغربي,312,650000
410,الرمال,330,1400000
411,الرمال,300,1400000
412,طويق,300,1250000
413,المونسية,584,3500000
414,الضباط,1000,2600000
415,الرمال,248,1130000
416,الشفا,303,1050000
417,اشبيلية,420,2000000
418,الرفيعة,1800,15000000
419,طويق,300,1220000
420,الرمال,300,1300000
421,الرمال,324,1500000
422,عكاظ,315,1050000
423,الرمال,247,1180000
424,الحزم,265,1050000
425,الرمال,375,1950000
426,طويق,250,1100000
427,العزيزية,360,1350000
428,طويق,375,1600000
429,أحد,304,1000000
430,العارض,448,3500000
431,طويق,300,1250000
432,الرمال,288,1200000
433,طويق,300,1150000
434,الرمال,281,1270000
435,العارض,300,2200000
436,طويق,240,1150000
437,النرجس,312,3000000
438,الخطاب,375,1500000
439,البيضاء,260,1000000
440,الرفيعة,1800,15000000
441,لبن,200,1300000
442,الحزم,281,1140000
443,المهدية,275,1850000
444,بدر,343,900000
445,الرمال,246,1150000
446,الرمال,294,1400000
447,العارض,270,2300000
448,الرمال,234,1100000
449,الشفا,333,1330000
450,طويق,260,1130000
451,العارض,324,2550000
452,المونسية,490,3300000
453,بدر,360,1240000
454,طويق,300,1300000
455,الرمال,321,1650000
456,طويق,375,1600000
457,الملقا,375,4000000
458,عكاظ,360,1150000
459,الروضة,793,2600000
460,لبن,200,1200000
461,المهدية,200,1270000
462,الرفيعة,1800,15000000
463,لبن,200,1300000
464,الحزم,312,1250000
465,البيضاء,375,1170000
466,عكاظ,360,1280000
467,ديراب,200,870000
468,النهضة,420,1600000
469,بدر,315,980000
470,الرمال,375,1900000
471,المهدية,200,1200000
472,بدر,347,1100000
473,عكاظ,210,880000
474,النرجس,325,3300000
475,طويق,200,1050000
476,بدر,300,1140000
477,الرمال,381,1550000
478,لبن,210,1200000
479,الحزم,337,1400000
480,المونسية,590,4500000
481,الرمال,345,1700000
482,اليرموك,322,2200000
483,السليمانية,640,3000000
484,الرفيعة,1800,15000000
485,الملقا,405,4500000
486,المونسية,240,1850000
487,طويق,360,1450000
488,بدر,275,900000
489,الشرق,300,1100000
490,الغربي,350,850000
491,الملقا,405,5150000
492,القادسية,700,3000000
493,طويق,250,1250000
494,الرمال,312,1750000
495,طويق,200,1050000
496,الرمال,250,1250000
497,الملقا,2000,18000000
498,العارض,337,2800000
499,الغربي,400,850000
500,الملقا,2000,16000000
501,النرجس,325,3200000
502,الوسيطا,1050,5250000
503,الملقا,411,4400000
504,الدولي,335,1400000
505,طويق,200,960000
506,الملقا,405,4500000
507,الرمال,300,1350000
508,اليرموك,312,1950000
509,العقيق,440,4500000
510,طويق,300,1450000
511,البيضاء,265,980000
512,المهدية,225,1500000
513,طويق,260,1170000
514,البيضاء,200,810000
515,المونسية,1260,6000000
516,الياسمين,375,3100000
517,العارض,270,2300000
518,الرمال,312,1700000
519,الدولي,250,1120000
520,الشفا,300,1180000
521,الحزم,325,1300000
522,طويق,240,1050000
523,العزيزية,300,1000000
524,بدر,330,1050000
525,طويق,240,1050000
526,بدر,372,1300000
527,الرمال,401,1900000
528,لبن,200,1300000
529,الرمال,300,1350000
530,عكاظ,300,1050000
531,الملقا,360,2900000
532,طويق,375,1150000
533,بدر,360,1200000
534,طويق,360,1600000
535,العارض,322,2600000
536,ديراب,250,980000
537,بدر,230,850000
538,طيبة,250,870000
539,طويق,375,1300000
540,العارض,270,2250000
541,طويق,250,1300000
542,طويق,210,1150000
543,طويق,450,1450000
544,العارض,322,2750000
545,لبن,200,1150000
546,البديعة,490,1300000
547,المهدية,200,1200000
548,لبن,450,2500000
549,طويق,300,1200000
550,الملقا,405,4500000
551,طويق,300,1220000
552,عكاظ,332,1300000
553,عكاظ,360,730000
554,طويق,240,1000000
555,نمار,250,1150000
556,السويدي,1160,1700000
557,بدر,247,860000
558,السويدي,550,900000
559,الجنادرية,271,1360000
560,المونسية,240,2000000
561,عكاظ,350,1000000
562,الرمال,500,3000000
563,بدر,300,950000
564,المهدية,375,2100000
565,الرمال,300,1500000
566,الرمال,312,1600000
567,البيضاء,245,900000
568,المونسية,300,2000000
569,طويق,270,950000
570,بدر,1000,1000600
571,المهدية,466,2500000
572,لبن,200,1300000
573,الرمال,300,1350000
574,القيروان,662,6500000
575,النرجس,497,6000000
576,الجنادرية,390,1500000
577,المعيزيلة,255,1400000
578,البيضاء,250,850000
579,النرجس,312,2500000
580,الشفا,300,900000
581,المونسية,411,1950000
582,لبن,400,1300000
583,الدولي,416,1550000
584,الدولي,300,1380000
